feature	edgeR:P	voom:adjP	DESeq2:score
ENSG00000077585	0.13056812	0.209992829	0.341641604
ENSG00000078369	0.957547926	0.970619842	0.039902294
ENSG00000078618	0.196221832	0.223810156	0.242661825
ENSG00000078808	0.559972107	0.816213448	0.179029504
ENSG00000078900	0.978214832	0.952302556	0.036213339
ENSG00000079277	0.300735765	0.399222543	0.198863627
ENSG00000079335	0.41095816	0.548630848	0.170257031
ENSG00000079739	0.292630587	0.475124861	0.228690239
ENSG00000080947	0.019414272	0.044099772	0.512603794
ENSG00000081019	0.452754684	0.686836687	0.17006818
ENSG00000081026	0.772714454	0.964842699	0.001527858
ENSG00000081237	3.28E-25	5.55E-10	1.856098454
ENSG00000081277	4.44E-07	5.59E-05	1.72056715
ENSG00000081692	0.517649891	0.774546872	0.177900487
ENSG00000081721	0.259013855	0.341591364	0.228246786
ENSG00000081870	0.323557936	0.441400613	0.115328064
ENSG00000081985	2.54E-26	6.06E-11	2.693965685
ENSG00000082482	3.33E-06	0.020080178	1.635474362
ENSG00000082497	0.639997105	0.793841149	0.142938499
ENSG00000082512	0.434129296	0.525512916	0.186615767
ENSG00000083444	0.436743796	0.580051057	0.159631806
ENSG00000084070	3.36E-239	8.75E-20	6.872040688
ENSG00000084072	8.56E-140	3.28E-17	7.095484545
ENSG00000084073	0.001772045	0.020765216	0.772432061
ENSG00000084623	0.458453145	0.697716531	0.14792238
ENSG00000084628	5.99E-24	4.68E-10	2.945668314
ENSG00000084636	0.42147022	0.536303561	0.157531445
ENSG00000084652	0.931925069	0.949232528	0.022644963
ENSG00000085433	5.39E-11	1.72E-07	1.08019333
ENSG00000085465	0.125709919	0.144255367	0.521900129
ENSG00000085491	0.338624326	0.450226175	0.163907473
ENSG00000085552	0.315842931	0.465617187	0.213644401
ENSG00000085831	2.13E-17	5.96E-09	1.278424667
ENSG00000085832	0.509015511	0.262715134	0.245694416
ENSG00000085840	5.21E-05	0.000112836	0.710387241
ENSG00000085998	1.31E-18	1.97E-09	1.215226059
ENSG00000085999	0.004363457	0.004461435	0.69110628
ENSG00000086015	4.99E-45	3.67E-13	2.143439765
ENSG00000086619	0.348835907	0.429457597	0.232242246
ENSG00000088035	0.450864617	0.473200124	0.154914659
ENSG00000088280	2.51E-11	6.13E-08	0.885674444
ENSG00000090020	6.73E-97	1.20E-16	6.948788321
ENSG00000090104	0.090150497	0.139744219	0.263718905
ENSG00000090273	0.369391246	0.716088769	0.25743122
ENSG00000090432	0.831447654	0.851600766	0.020888586
ENSG00000090621	0.993365255	0.988215348	0.047273736
ENSG00000090686	0.489610547	0.576063754	0.054220543
ENSG00000091483	8.11E-16	1.24E-07	1.40909296
ENSG00000092607	0.97929363	0.795956691	0.062072532
ENSG00000092621	0.234006071	0.218545758	0.303794112
ENSG00000092847	0.097524642	0.151625382	0.214535073
ENSG00000092853	0.520733054	0.715099399	0.204911648
ENSG00000092969	0.67316847	0.515541835	0.058066339
ENSG00000092978	0.409470479	0.446790877	0.075087386
ENSG00000094963	4.98E-29	5.23E-11	3.022225352
ENSG00000094975	0.642123534	0.701235594	0.151075518
ENSG00000097021	0.402592262	0.545128229	0.162536235
ENSG00000097033	7.19E-07	4.47E-05	0.725701636
ENSG00000097046	1.74E-05	0.000614052	1.033592182
ENSG00000097096	9.05E-07	7.78E-06	0.889383808
ENSG00000099260	0.709605394	0.832985303	0.110942472
ENSG00000107404	0.889312408	0.880627839	0.029788436
ENSG00000116128	0.820999792	0.939966865	0.125582613
ENSG00000116132	0.901098912	0.893316171	0.026985725
ENSG00000116133	0.515865393	0.717815137	0.147508842
ENSG00000116138	0.097581847	0.191678395	0.317280191
ENSG00000116141	0.765689905	0.857621198	0.117260845
ENSG00000116147	0.696292552	0.813279569	0.107967375
ENSG00000116151	0.00056986	0.00115074	0.731582251
ENSG00000116157	0.208051994	0.587126573	0.381077542
ENSG00000116161	4.05E-05	0.000139931	0.501316121
ENSG00000116171	1.20E-82	1.40E-16	2.834675511
ENSG00000116183	0.954283791	0.834699461	0.06442252
ENSG00000116191	0.175354313	0.252484357	0.299501863
ENSG00000116194	0.676633512	0.748805624	0.099396822
ENSG00000116198	3.10E-22	5.61E-09	2.09624764
ENSG00000116199	1.17E-40	2.31E-12	2.090767592
ENSG00000116205	0.656739299	0.901049275	0.029077546
ENSG00000116209	5.34E-05	0.000328249	0.698044648
ENSG00000116212	7.71E-07	0.000615276	0.98728589
ENSG00000116213	1.08E-101	1.76E-16	5.361026921
ENSG00000116221	1.87E-298	1.75E-18	8.231871709
ENSG00000116237	1.28E-19	4.46E-10	1.125154742
ENSG00000116251	0.69719753	0.740612033	0.013334701
ENSG00000116254	4.18E-11	0.000772456	2.134407456
ENSG00000116260	0.634813753	0.822725312	0.05861906
ENSG00000116266	0.182920979	0.63908145	0.230381074
ENSG00000116273	0.747559371	0.930228639	0.009164644
ENSG00000116285	0.003701986	0.014717239	0.398954603
ENSG00000116288	1.94E-267	1.04E-17	9.866097649
ENSG00000116299	1.47E-18	5.67E-10	1.175537977
ENSG00000116337	0.002421026	0.010431542	0.396841777
ENSG00000116350	0.959752708	0.988215348	0.039502651
ENSG00000116353	0.52608682	0.643392875	0.053884108
ENSG00000116396	3.13E-05	0.000229787	0.706506632
ENSG00000116406	0.340277041	0.605678938	0.243435312
ENSG00000116455	4.80E-94	6.43E-19	7.122051676
ENSG00000116459	0.64973448	0.913898106	0.030289125
ENSG00000116473	0.325322672	0.460229957	0.1840706
ENSG00000116478	0.975367328	0.988337441	0.041972851
ENSG00000116489	0.164774684	0.39111404	0.298856212
ENSG00000116497	0.448117553	0.596083311	0.073140139
ENSG00000116514	0.750322899	0.829299106	0.003391716
ENSG00000116521	0.622959819	0.767128104	0.026929466
ENSG00000116525	1.28E-06	0.000295112	1.343994846
ENSG00000116539	0.118774264	0.237014383	0.220914127
ENSG00000116544	0.466126238	0.705659665	0.241448956
ENSG00000116560	0.553547872	0.586287396	0.172963994
ENSG00000116574	5.05E-85	2.66E-13	5.540871272
ENSG00000116580	0.90756795	0.909284976	0.065647568
ENSG00000116584	6.54E-265	3.31E-19	6.883729167
ENSG00000116586	0.957199541	0.952302556	0.056310711
ENSG00000116604	0.002852382	0.004873891	0.442357114
ENSG00000116641	9.65E-47	2.00E-13	2.519293026
ENSG00000116649	0.864550588	0.921811402	0.084208706
ENSG00000116652	0.632098069	0.959324706	0.275879415
ENSG00000116661	0.380961125	0.642905111	0.264070237
ENSG00000116663	0.93346753	0.971739734	0.034961712
ENSG00000116667	1.46E-40	4.55E-13	3.058374473
ENSG00000116668	0.38648824	0.704205529	0.240407245
ENSG00000116670	0.394480355	0.762869827	0.309678798
ENSG00000116675	5.83E-30	8.82E-12	2.080173356
ENSG00000116678	0.305126739	0.283253322	0.170657821
ENSG00000116679	3.41E-07	1.95E-05	0.81202275
ENSG00000116685	5.61E-20	6.12E-09	1.516990167
ENSG00000116688	3.78E-239	1.04E-17	8.085982962
ENSG00000116690	0.007408224	0.036474093	0.786489299
ENSG00000116691	0.833550197	0.957437407	0.079759207
ENSG00000116698	0.605411023	0.8407896	0.048422021
ENSG00000116701	0.425125249	0.599574919	0.147954949
ENSG00000116704	0.386658013	0.483519559	0.236144773
ENSG00000116711	1.36E-14	4.79E-07	1.403960714
ENSG00000116717	5.53E-185	5.28E-19	5.039712907
ENSG00000116729	0.133983819	0.173086351	0.250216954
ENSG00000116731	1.37E-89	1.42E-15	6.692945183
ENSG00000116741	6.87E-49	3.81E-13	2.566944697
ENSG00000116745	0.004651219	0.26007423	2.856233684
ENSG00000116747	0.41203943	0.51743227	0.157041304
ENSG00000116748	1.35E-15	2.80E-09	4.079694443
ENSG00000116750	0.32356835	0.430864009	0.181002918
ENSG00000116752	0.434888618	0.548630848	0.145245875
ENSG00000116754	5.38E-178	4.17E-20	3.899764375
ENSG00000116761	0.771200943	0.916723677	0.102022542
ENSG00000116771	0.327751947	0.41880858	0.130259794
ENSG00000116774	0.682367757	0.916723677	0.122660385
ENSG00000116783	0.52990445	0.697256418	0.239533624
ENSG00000116785	0.031105484	0.086582951	0.696511529
ENSG00000116786	0.695359848	0.856298907	0.002555285
ENSG00000116791	8.61E-10	3.77E-06	1.041713208
ENSG00000116793	0.29638921	0.411864621	0.215407461
ENSG00000116809	5.21E-09	1.85E-06	1.466472253
ENSG00000116815	0.774547431	0.862792784	0.010063953
ENSG00000116819	0.736084368	0.988337441	0.075287374
ENSG00000116824	7.12E-11	5.90E-05	1.584341967
ENSG00000116830	0.005095829	0.016532049	0.750015819
ENSG00000116833	0.562666617	0.875799955	0.142519328
ENSG00000116852	0.725707983	0.781345944	0.096594745
ENSG00000116857	0.183116059	0.339287347	0.243236013
ENSG00000116863	0.759146922	0.705729267	0.026310839
ENSG00000116871	9.75E-07	4.88E-06	0.529497868
ENSG00000116874	2.11E-26	9.76E-11	1.634550861
ENSG00000116882	0.294334134	0.226184968	0.615771284
ENSG00000116883	5.86E-24	3.06E-09	2.617461122
ENSG00000116885	1.40E-28	1.02E-10	2.723215852
ENSG00000116898	0.683427717	0.725548288	0.128160413
ENSG00000116903	7.30E-41	3.55E-12	3.7056053
ENSG00000116906	0.190536425	0.414124416	0.285840379
ENSG00000116918	3.40E-19	3.09E-08	2.538252259
ENSG00000116922	1.04E-17	2.92E-07	1.927300107
ENSG00000116954	0.943928251	0.989289499	0.077219553
ENSG00000116957	0.089778012	0.282550812	0.450039668
ENSG00000116962	0.233703195	0.568978423	0.319152727
ENSG00000116977	0.678097795	0.779279749	0.111772887
ENSG00000116981	0.693972354	0.776611096	0.203484484
ENSG00000116983	0.527071824	0.812390312	0.143624547
ENSG00000116984	0.852302494	0.93969285	0.024509033
ENSG00000116985	6.14E-09	1.43E-05	1.098942031
ENSG00000116990	2.73E-35	2.00E-12	3.545363925
ENSG00000116991	0.034714346	0.044327461	0.31083288
ENSG00000117000	3.07E-49	7.50E-14	3.106746678
ENSG00000117009	0.643853384	0.767000344	0.027801099
ENSG00000117010	0.39545039	0.53894056	0.247640541
ENSG00000117013	1.71E-18	2.11E-09	2.028936986
ENSG00000117016	0.349342603	0.450691501	0.087855253
ENSG00000117020	4.56E-87	2.95E-16	3.321739468
ENSG00000117036	0.268418514	0.441328442	0.215634441
ENSG00000117054	0.081395592	0.097045429	0.185424118
ENSG00000117069	0.88750184	0.807220769	0.078094393
ENSG00000117090	2.77E-106	1.06E-16	4.967360217
ENSG00000117091	0.094907921	0.135323571	0.663986022
ENSG00000117114	0.011020353	0.0294625	0.424226879
ENSG00000117115	0.419793633	0.568240802	0.183215781
ENSG00000117118	0.16907246	0.508041654	0.381453985
ENSG00000117122	0.943225649	0.980378666	0.028565315
ENSG00000117133	0.528045414	0.74981145	0.097149551
ENSG00000117139	0.05001719	0.083210676	0.261413697
ENSG00000117143	0.056717328	0.061023624	0.263007505
ENSG00000117148	1.24E-23	4.64E-11	8.329963141
ENSG00000117151	0.003343725	0.006815238	0.460756197
ENSG00000117152	0.169535146	0.174369316	0.325400066
ENSG00000117153	0.459189687	0.762869827	0.165724022
ENSG00000117154	0.339004494	0.692063906	0.321416048
ENSG00000117155	8.88E-30	2.60E-11	3.231754817
ENSG00000117174	0.984818981	0.939966865	0.050605956
ENSG00000117215	0.686002863	0.866400412	0.037499355
ENSG00000117222	1.18E-05	3.45E-05	0.613085417
ENSG00000117226	0.438668334	0.481591391	0.215691225
ENSG00000117228	8.37E-19	7.96E-09	1.651013339
ENSG00000117242	0.481435424	0.480417179	0.171581499
ENSG00000117245	9.82E-49	4.80E-14	3.081756349
ENSG00000117262	3.50E-08	2.86E-06	1.007861787
ENSG00000117266	0.455523008	0.779100037	0.173494816
ENSG00000117280	0.657461296	0.74981145	0.019526624
ENSG00000117281	0.931115996	0.909932098	0.021047428
ENSG00000117289	0.002543905	0.004522639	0.507904333
ENSG00000117298	7.08E-15	2.77E-09	0.983648418
ENSG00000117305	1.05E-12	3.16E-08	0.872530076
ENSG00000117308	0.799939577	0.875799955	0.003677106
ENSG00000117318	0.002395334	0.018608477	0.756720369
ENSG00000117322	3.84E-78	3.35E-15	3.980040392
ENSG00000117335	0.485350888	0.441400613	0.110238349
ENSG00000117360	0.417949838	0.580051057	0.184696135
ENSG00000117362	4.50E-108	6.03E-17	5.719498706
ENSG00000117385	6.66E-05	0.000312651	0.565751641
ENSG00000117394	0.104069907	0.279152016	0.328142626
ENSG00000117395	5.06E-48	1.52E-12	3.009317317
ENSG00000117399	0.021209445	0.020022901	0.381833625
ENSG00000117407	0.025836461	0.001820666	0.917010636
ENSG00000117408	0.722088016	0.982966526	0.109120446
ENSG00000117410	0.6279679	0.703635758	0.106346505
ENSG00000117411	9.85E-13	3.19E-07	1.089557533
ENSG00000117419	0.000311861	0.000219137	0.447120035
ENSG00000117425	0.587228944	0.640467672	0.164582064
ENSG00000117448	0.785809118	0.989289499	0.102134251
ENSG00000117450	4.76E-91	5.93E-16	6.289818801
ENSG00000117461	7.79E-24	1.18E-09	1.553341023
ENSG00000117472	0.023547764	0.025504059	0.357606907
ENSG00000117475	0.000200996	0.002734558	0.664036954
ENSG00000117477	0.881906177	0.743292778	0.010349727
ENSG00000117479	0.200935814	0.42425284	0.474672761
ENSG00000117480	0.016185532	0.048746075	0.670863904
ENSG00000117481	0.179505118	0.159183473	0.218558281
ENSG00000117500	0.196569481	0.701514656	0.310113402
ENSG00000117505	0.695853374	0.839766288	0.007666825
ENSG00000117507	0.07935186	0.043199885	1.152690018
ENSG00000117519	0.27836006	0.345599699	0.237469785
ENSG00000117523	2.56E-13	1.06E-07	1.116168044
ENSG00000117525	0.686963468	0.860971606	0.109884465
ENSG00000117528	2.87E-49	1.52E-13	2.217396234
ENSG00000117533	0.838085165	0.893299306	0.078015686
ENSG00000117543	0.88783923	0.952087774	0.067408965
ENSG00000117560	0.12178757	0.144931866	0.671986731
ENSG00000117569	0.73055841	0.811383647	0.095414815
ENSG00000117586	2.09E-23	8.14E-10	2.267199656
ENSG00000117592	0.941094851	0.921440698	0.073499275
ENSG00000117593	0.260197477	0.476053965	0.234405961
ENSG00000117594	0.038984522	0.061207463	0.463920315
ENSG00000117595	0.051344499	0.110817129	0.598878085
ENSG00000117597	1.12E-109	8.87E-19	6.535675546
ENSG00000117600	0.45938458	0.856791689	0.145421597
ENSG00000117602	0.000149696	0.000659977	0.742899048
ENSG00000117614	0.38552941	0.801348643	0.196093004
ENSG00000117616	0.624191451	0.703635758	0.016800512
ENSG00000117620	9.87E-76	1.56E-16	2.308793564
ENSG00000117625	0.797042874	0.888872073	0.080974102
ENSG00000117632	0.85259405	0.93969285	0.023471025
ENSG00000117640	0.776833253	0.822725312	0.084197392
ENSG00000117643	6.63E-09	3.67E-07	0.745233796
ENSG00000117650	0.345058412	0.543237796	0.216934978
ENSG00000117676	0.01004358	0.014974642	0.398894642
ENSG00000117682	0.70110374	0.851600766	0.00072087
ENSG00000117691	0.678712108	0.724070803	0.139528158
ENSG00000117697	3.49E-17	5.48E-10	1.136464043
ENSG00000117707	3.44E-25	1.30E-11	3.513896851
ENSG00000117713	0.734263566	0.903824927	0.090512346
ENSG00000117724	0.56694129	0.781345944	0.136772254
ENSG00000117748	7.40E-06	6.04E-05	0.581606648
ENSG00000117751	0.063042856	0.441868517	0.599429406
ENSG00000117758	0.691097793	0.780262724	0.131773257
ENSG00000117791	0.602095747	0.677929529	0.05795313
ENSG00000117834	0.37327672	0.641484614	0.251909267
ENSG00000117859	0.000134822	0.000964643	0.494125813
ENSG00000117862	1.38E-10	6.66E-06	1.158940005
ENSG00000118193	4.43E-59	5.75E-14	4.257529489
ENSG00000118194	0.800631714	0.703635758	0.070984172
ENSG00000118197	0.296352494	0.642106375	0.32173779
ENSG00000118200	0.428329619	0.652276001	0.176242378
ENSG00000118217	0.027081574	0.070946871	0.429377767
ENSG00000118292	4.77E-11	4.23E-07	1.831960698
ENSG00000118454	0.298845596	0.673445501	0.124892726
ENSG00000118473	6.47E-27	1.07E-11	1.702307367
ENSG00000118655	0.103237452	0.280611698	0.404664446
ENSG00000118729	9.52E-46	1.52E-13	2.641456191
ENSG00000118733	0.155951776	0.225895244	0.258485823
ENSG00000118873	0.890055414	0.897895853	0.069967457
ENSG00000119280	0.747204564	0.812487026	0.004720704
ENSG00000119283	0.305103301	0.283253322	0.440808136
ENSG00000119285	3.87E-42	8.86E-11	3.541577943
ENSG00000119535	0.098098349	0.151230879	0.29736274
ENSG00000120332	0.949360267	0.971739734	0.071193242
ENSG00000120333	1.85E-104	1.07E-13	6.648850762
ENSG00000120334	0.955937014	0.913898106	0.030453343
ENSG00000120337	9.87E-71	3.91E-15	4.988856882
ENSG00000120341	0.039411201	0.036313181	0.39880022
ENSG00000120370	0.019235935	0.027643775	0.370883546
ENSG00000120656	0.719077433	0.717815137	0.034149702
ENSG00000120942	4.40E-33	1.22E-10	2.16713131
ENSG00000120948	0.531690317	0.875799955	0.204148509
ENSG00000120949	8.65E-05	0.001322856	1.049887529
ENSG00000121310	0.555200737	0.643392875	0.120964298
ENSG00000121446	0.909387894	0.771347521	0.048091562
ENSG00000121454	0.802181541	0.899510303	0.004650722
ENSG00000121481	0.123577597	0.141931568	0.29340827
ENSG00000121486	0.640759286	0.773027783	0.131552138
ENSG00000121644	0.035118765	0.312929271	0.52491517
ENSG00000121753	0.602697968	0.671541135	0.145008494
ENSG00000121764	0.18759802	0.200195625	0.771565459
ENSG00000121766	0.856500152	0.957876849	0.018279986
ENSG00000121769	0.265136958	0.318923308	0.237666557
ENSG00000121774	0.552741454	0.715834049	0.13045791
ENSG00000121775	0.789965383	0.940573461	0.011458315
ENSG00000121848	0.855188171	0.949232528	0.078049962
ENSG00000121851	0.146311128	0.266690353	0.302403132
ENSG00000121900	0.997688125	0.991865206	0.046282549
ENSG00000121903	1.78E-41	2.64E-09	3.631976236
ENSG00000121904	0.224724552	0.379872272	0.357173365
ENSG00000121905	4.90E-10	2.79E-06	2.630450131
ENSG00000121931	0.941226977	0.970605348	0.037599601
ENSG00000121933	0.471073765	0.762869827	0.185915464
ENSG00000121940	0.515784524	0.598613031	0.030871849
ENSG00000121957	0.506294179	0.572821296	0.132740683
ENSG00000122176	2.29E-20	6.99E-09	1.857203531
ENSG00000122188	0.012268199	0.01923621	0.478537939
ENSG00000122218	0.347531541	0.507212718	0.212728597
ENSG00000122223	0.06490177	0.064374607	0.431963207
ENSG00000122224	0.352628538	0.439625195	0.09551207
ENSG00000122406	0.400388565	0.753365264	0.285737554
ENSG00000122417	1.24E-28	3.95E-12	1.412985108
ENSG00000122420	0.652627513	0.856444706	0.114732589
ENSG00000122432	0.538082279	0.847709731	0.195036079
ENSG00000122435	0.676642396	0.800306832	0.11346276
ENSG00000122477	0.855969008	0.026127528	0.175629409
ENSG00000122481	0.550590429	0.658118233	0.133367363
ENSG00000122482	0.288322693	0.384882763	0.182193693
ENSG00000122483	0.161501574	0.169911012	0.181732402
ENSG00000122484	0.424893043	0.623757007	0.188829607
ENSG00000122497	0.883935388	0.937046579	0.026948994
ENSG00000123080	0.725884708	0.842841797	0.079019316
ENSG00000123091	4.71E-39	2.69E-12	1.945439089
ENSG00000123472	0.278222392	0.389484335	0.187860905
ENSG00000123473	0.950591479	0.807220769	0.032985612
ENSG00000123684	0.842472951	0.989118944	0.079340401
ENSG00000123685	0.529906838	0.462307834	0.109022455
ENSG00000123689	0.775659926	0.93969285	0.110766925
ENSG00000123836	0.247286801	0.36436617	0.206521416
ENSG00000123838	2.15E-08	6.31E-05	2.477679487
ENSG00000123843	0.765592785	0.807220769	0.021450146
ENSG00000125459	0.558368327	0.674778161	0.029317232
ENSG00000125462	0.16439067	0.10750084	0.508893791
ENSG00000125703	0.355479171	0.456105128	0.177552326
ENSG00000125944	0.431352689	0.576898143	0.120360868
ENSG00000125945	0.331330814	0.613134589	0.128649589
ENSG00000126067	0.42690204	0.687138813	0.171889444
ENSG00000126070	0.000519893	0.001044238	0.929325366
ENSG00000126088	1.61E-32	1.04E-10	2.143302512
ENSG00000126091	0.000100224	0.000980894	0.688677012
ENSG00000126106	0.775062828	0.86978485	0.001453961
